id	db	name	category_L1	category_L2	category_L3
HMMsoil74525	FOAM	cyaA; anthrax edema toxin adenylate cyclase [EC:4.6.1.1]	Toxin-antitoxin systems	Toxin	
HMMsoil74717	FOAM	MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil76915	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil77125	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]; MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil79743	FOAM	NLK; nemo like kinase [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil80227	FOAM	SPS1; sporulation-specific protein 1 [EC:2.7.11.1]	Sporulation & developmental	Sporulation	
HMMsoil81566	FOAM	JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]; P38; p38 MAP kinase [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
HMMsoil84767	FOAM	K08884; serine/threonine protein kinase, bacterial [EC:2.7.11.1]; impN; type VI secretion system protein ImpN [EC:2.7.11.1]	Secretion & extracellular processes	Secretion system	
HMMsoil8731	FOAM	E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]; GUCY1A; guanylate cyclase soluble subunit alpha [EC:4.6.1.2]; GUCY1B; guanylate cyclase soluble subunit beta [EC:4.6.1.2]; GUCY2C; heat-stable enterotoxin receptor [EC:4.6.1.2]; GUCY2D_E; guanylate cyclase 2D/E [EC:4.6.1.2]; ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]; ANPRB, NPR2; atrial natriuretic peptide receptor B [EC:4.6.1.2]	Toxin-antitoxin systems	Toxin	
HMMsoil88101	FOAM	E4.6.1.2; guanylate cyclase, other [EC:4.6.1.2]; GUCY1A; guanylate cyclase soluble subunit alpha [EC:4.6.1.2]; GUCY1B; guanylate cyclase soluble subunit beta [EC:4.6.1.2]; GUCY2C; heat-stable enterotoxin receptor [EC:4.6.1.2]; GUCY2D_E; guanylate cyclase 2D/E [EC:4.6.1.2]; ANPRA, NPR1; atrial natriuretic peptide receptor A [EC:4.6.1.2]; ANPRB, NPR2; atrial natriuretic peptide receptor B [EC:4.6.1.2]	Toxin-antitoxin systems	Toxin	
HMMsoil8932	FOAM	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]; SMK1; sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]	Sporulation & developmental	Sporulation	
